"Group","t1_Optimised","t1_Lower_CI","t1_Upper_CI","t1_eps","nu_1_Optimised","nu_1_Lower_CI","nu_1_Upper_CI","nu_1_eps","nu_2_Optimised","nu_2_Lower_CI","nu_2_Upper_CI","nu_2_eps","me1_12_Optimised","me1_12_Lower_CI","me1_12_Upper_CI","me1_12_eps","me1_21_Optimised","me1_21_Lower_CI","me1_21_Upper_CI","me1_21_eps","P1_Optimised","P1_Lower_CI","P1_Upper_CI","P1_eps","nu11_Optimised","nu11_Lower_CI","nu11_Upper_CI","nu11_eps","nu12_Optimised","nu12_Lower_CI","nu12_Upper_CI","nu12_eps","t2_Optimised","t2_Lower_CI","t2_Upper_CI","t2_eps","me2_12_Optimised","me2_12_Lower_CI","me2_12_Upper_CI","me2_12_eps","me2_21_Optimised","me2_21_Lower_CI","me2_21_Upper_CI","me2_21_eps","P2_Optimised","P2_Lower_CI","P2_Upper_CI","P2_eps","nu21_Optimised","nu21_Lower_CI","nu21_Upper_CI","nu21_eps","nu22_Optimised","nu22_Lower_CI","nu22_Upper_CI","nu22_eps","theta_Optimised","theta_Lower_CI","theta_Upper_CI","theta_eps","unfil.snps","sfs.snps","snps","L.eff","nref"
"group1-group2",87.5705575861663,24.1700803277888,150.971681362675,0.001,27.2890454213112,0,76.203475806758,0.001,259.023125191557,243.743800571878,274.303096329368,0.01,0.2158594203,0,15.304416153,1e-05,7.31340019125,0,36.9697917015,1e-04,0.35562,0,0.7382,1e-04,541.338359088992,530.12547188383,552.549953257893,0.01,530.369694107819,511.032175179793,549.706889776779,0.01,0.414741381042571,0,8.72799476862776,1e-05,256.719675,242.764393467,270.674956533,0.01,209.0293340427,189.896720013,228.161653953,0.01,0.43557,0.1228,0.7483,1e-04,553.246414914523,113.729004425875,992.764148662237,0.01,475.383811954062,415.210106687553,535.557840479637,0.01,3994.43503849476,3994.43,3994.4401,1,33523695,285376.87,0.00851269139633922,3321709.96700076,16162.9532752366
"group1-group3",325.929840349102,316.248181982275,335.615122091066,0.001,136.2697038506,129.454135217366,143.087084171403,0.001,2190.19439392141,1746.85632899885,2633.53245884398,0.01,0.7773492651,0,1.94132247,1e-05,0.94541560125,0,2.4420370125,1e-05,0.17654,0,0.4134,1e-04,2476.80970818719,2398.48411368827,2555.13167931096,0.01,2010.09000350372,1810.58243922586,2209.59756778158,0.01,16.6584671936699,5.54376396004676,27.7731704272931,1e-05,23.1103048797,14.987311424,31.232710444,0.001,173.81958089775,162.226625985,185.4125358105,0.001,0.46391,0.44,0.4878,1e-04,1775.12590181995,1734.22886664541,1816.01750193179,0.01,3149.08348440886,2002.09593210708,4296.0728483982,0.01,5448.37904880616,5447.7979,5448.9602,0.01,33812349,70052.17,0.0020717924684854,808427.484530281,90584.3784321366
"group1-group4",368.073934288192,358.901220835407,377.261948347237,0.001,103.502226095332,78.4666091026395,128.537843088025,1e-04,25501.010433097,25480.2016085836,25521.8192576104,0.01,0.14506926875,0,1.037552775,1e-05,8.46828003745,4.932337842,12.0038222055,1e-04,0.28567,0.0539,0.5175,1e-04,1845.09373362369,1818.68106206761,1871.50640517977,0.01,2550.27572523117,2539.9261401469,2560.62021011335,0.01,7.53044838089355,0,34.6048711577126,1e-05,124.6357,113.197881811,136.073518189,0.01,50.2557957867,40.937644181,59.573603999,0.001,0.42008,0.3644,0.4757,1e-04,3178.33628603635,3093.65508069116,3263.02004148258,0.01,4378.43933802833,3981.3707548777,4775.51047127999,0.01,8176.63022505135,8176.4344,8176.8261,0.01,34517876,76247.09,0.00220891604106811,861934.033346864,127505.052165485
"group2-group3",291.06509522013,270.728083806561,311.402106633699,0.001,736.423296813093,709.232787047699,763.613806578487,0.001,718.879085977893,704.174607285862,733.58505456087,0.001,124.913180726,117.06427504,132.762086412,0.001,91.2026963526,57.026698526,125.379421839,0.001,0.64942,0.6359,0.663,1e-04,2279.31264359493,2264.79812599852,2293.82865108229,0.01,2710.33436955954,2701.08289173005,2719.58733727998,0.01,2.03370114135687,0,5.37850631523684,0.001,40.4426510498,39.078250993,41.8069893355,0.01,25.6806692552,24.874639112,26.48673364,0.01,0.29096,0.2369,0.345,1e-04,460.161013087433,369.403561163386,550.916975120534,0.001,255.081249091155,199.742229682057,310.426228064036,0.001,5047.21160294934,5047.2115,5047.2117,1,34492471,80497.72,0.00233377655083047,910655.451809276,74494.5473024493
"group2-group4",322.367608757546,315.931704394927,328.803513120165,0.001,485.186914646256,484.102862642444,486.273758799466,0.001,906.874767680939,900.698533212343,913.053794298932,0.01,115.6100000528,70.0660967915,161.1532194255,0.001,130.3247681815,76.971175485,183.678360878,0.001,0.65851,0.6337,0.6834,1e-04,2386.89892857115,2381.38233939786,2392.41830989384,0.01,3729.22126152061,3722.72392987123,3735.72138531938,0.01,3.47064170183734,0,7.77613607370634,1e-06,22.5151416927,21.7864044225,23.243823495,0.001,19.02342798665,18.5684205895,19.4783695885,0.001,0.39829,0.2775,0.519,1e-04,387.18665899707,375.767465996194,398.607248072645,0.001,459.275768231895,449.82224840728,468.732080205907,0.001,4769.81591954051,4769.8105,4769.8213,1,36046531,84843.52,0.00235372219312865,918438.376825048,69803.7349524806
"group3-group4",282.099245313883,268.798640040573,295.406647012984,0.001,510.648602265954,503.555682399649,517.743221238706,0.001,1302.96062904193,1261.94334983903,1343.97620913839,0.01,114.3730180929,95.092794906,133.652844969,0.01,104.394870749,36.070136752,172.719604746,0.001,0.54319,0.5237,0.5627,1e-04,1683.43558902326,1663.42521238762,1703.44766476534,0.01,3157.82161624252,3111.61611550128,3204.03051519665,0.01,3.91134304281542,0,8.10473775596419,1,24.571180356,23.97325878,25.1689752,0.01,15.85820265975,15.0377879025,16.67876562,0.001,0.16216,0,0.4585,1e-04,358.885263902465,340.628365120948,377.142162683981,0.001,629.531682205011,534.589861668556,724.473502741465,0.001,6534.5347023308,6534.5347,6534.5347,1,35072420,92922.75,0.0026494536162603,1033834.78555592,84955.3223895617
"group1-Amil",317.334551008361,279.063541756384,355.605560260338,1e-04,79.6140294651189,57.6032799923719,101.629698090726,1e-04,49191.5286015131,48981.8005193206,49401.2566837057,0.01,0.05322792915,0.005478003,0.101038722,1e-05,0.2473016899,0,0.674478244,1e-04,0.14524,0,0.3056,1e-04,1497.06300696486,1468.02278805496,1526.11798333334,0.001,1032.95815164459,1024.68413653382,1041.23708590823,0.001,45.9498068666734,31.0890460761563,60.8007293514702,1e-05,6.768301672,2.747694455,10.78878647,0.001,21.11585,19.65041001,22.58128999,0.01,0.57673,0.5684,0.585,1e-04,3010.98886993432,2946.74473358074,3075.23300628789,0.01,1038.72093922026,1023.9216678405,1053.51037229431,0.001,24258.1371916048,24258.0982,24258.1762,0.01,32965107,111991.19,0.00339726456826001,1325635.69516694,245957.643007566
"group2-Amil",378.91522382552,334.771504650507,423.041561302471,0.001,118.612707566722,86.8360665619501,150.395142470847,1e-04,28969.4967679567,28890.0044688254,29048.9890670879,0.01,0.1449180216,0,2.678787672,1e-05,0.1297823874,0,2.94432921,1e-05,0.15831,0,0.3254,1e-04,1927.54920034889,1923.06761919888,1932.03367844857,0.01,799.772485071687,796.284557660825,803.251721633519,0.001,45.0185979774047,0,153.277607399259,1e-04,7.65086432765,3.897668395,11.404227184,1e-04,30.0137507841,24.40967262,35.618215483,0.001,0.57265,0.4869,0.6584,1e-04,2417.84779382268,2403.61363158575,2432.07616216027,0.01,1399.71482991285,1255.65386791031,1543.76999801603,0.001,14559.6696916105,14559.5884,14559.751,0.01,34184556,118359.4,0.00346236470059754,1351038.20870475,144847.483839783
"group3-Amil",396.713523364866,387.699767862717,405.737842893387,0.001,132.050329653514,0,312.787615850279,0.01,26410.0659307028,26246.4555722621,26573.6762891435,0.01,0.169083687,0,2.81015457,1e-05,0.18557319305,0,0.819312984,1e-05,0.23576,0.1444,0.3271,1e-04,1957.69895724521,1803.49058227583,2111.90733221458,0.01,790.866590837751,779.255405351317,802.48305833737,0.001,24.7700008364062,23.1352177552957,26.4100659307028,1e-04,13.94833035255,9.6734599605,18.2237251935,0.001,61.6915,41.119235495,82.263764505,0.01,0.59581,0.5876,0.604,1e-04,2308.45500438076,2043.82218224523,2573.07990349651,0.01,1629.27658236395,1313.76872972281,1944.78443500509,0.01,14158.7387720728,14157.3364,14160.1411,0.01,34598003,127781.61,0.00369332328227152,1441159.81502079,132050.329653514
"group4-Amil",417.703437176187,241.962190473405,593.428307419377,0.001,122.13427093298,106.064869958224,138.203671907737,1e-04,27294.0993201811,27138.8095420989,27449.3890982633,0.01,0.215206767,0.011543658,0.418869876,1e-05,0.257143428,0.21051882,0.30393144,1e-05,0.25806,0.1374,0.3787,1e-04,2250.52677121574,2134.73974307966,2366.31652876174,0.01,743.327500885812,657.269205729281,829.385796042343,0.001,26.6417703464288,15.1209310233803,38.1571508496132,1e-05,12.6779571105,0,55.9023933985,0.001,38.80285,27.2058422205,50.3998577795,0.01,0.57771,0.5658,0.5896,1e-04,2406.5193723554,2260.21071765454,2552.8307564662,0.01,1059.08884180609,1019.76213880061,1098.42373304137,0.001,15704.9694892605,15704.0707,15705.8683,0.01,35256168,139754.46,0.00396397192116852,1546768.75108136,136470.496600905
