"Group","t1","nu_1","nu_2","me1_12","me1_21","P1","nu11","nu12","t2","me2_12","me2_21","P2","nu21","nu22","theta"
"group1-group3","325.9 (316.2, 335.6)","136.3 (129.5, 143.1)","2190 (1747, 2634)","0.78 (0, 1.941)","0.95 (0, 2.442)","0.18 (0, 0.41)","2477 (2398, 2555)","2010 (1811, 2210)","16.66 (5.544, 27.77)","23.11 (14.99, 31.23)","173.8 (162.2, 185.4)","0.46 (0.44, 0.49)","1775 (1734, 1816)","3149 (2002, 4296)","5448 (5448, 5449)"
"group1-group4","368.1 (358.9, 377.3)","103.5 (78.47, 128.5)","25500 (25480, 25520)","0.15 (0, 1.038)","8.468 (4.932, 12)","0.29 (0.054, 0.52)","1845 (1819, 1872)","2550 (2540, 2561)","7.53 (0, 34.6)","124.6 (113.2, 136.1)","50.26 (40.94, 59.57)","0.42 (0.36, 0.48)","3178 (3094, 3263)","4378 (3981, 4776)","8177 (8176, 8177)"
"group2-group3","291.1 (270.7, 311.4)","736.4 (709.2, 763.6)","718.9 (704.2, 733.6)","124.9 (117.1, 132.8)","91.2 (57.03, 125.4)","0.65 (0.64, 0.66)","2279 (2265, 2294)","2710 (2701, 2720)","2.034 (0, 5.379)","40.44 (39.08, 41.81)","25.68 (24.87, 26.49)","0.29 (0.24, 0.34)","460.2 (369.4, 550.9)","255.1 (199.7, 310.4)","5047 (5047, 5047)"
"group2-group4","322.4 (315.9, 328.8)","485.2 (484.1, 486.3)","906.9 (900.7, 913.1)","115.6 (70.07, 161.2)","130.3 (76.97, 183.7)","0.66 (0.63, 0.68)","2387 (2381, 2392)","3729 (3723, 3736)","3.471 (0, 7.776)","22.52 (21.79, 23.24)","19.02 (18.57, 19.48)","0.4 (0.28, 0.52)","387.2 (375.8, 398.6)","459.3 (449.8, 468.7)","4770 (4770, 4770)"
"group3-group4","282.1 (268.8, 295.4)","510.6 (503.6, 517.7)","1303 (1262, 1344)","114.4 (95.09, 133.7)","104.4 (36.07, 172.7)","0.54 (0.52, 0.56)","1683 (1663, 1703)","3158 (3112, 3204)","3.911 (0, 8.105)","24.57 (23.97, 25.17)","15.86 (15.04, 16.68)","0.16 (0, 0.46)","358.9 (340.6, 377.1)","629.5 (534.6, 724.5)","6535 (6535, 6535)"
"group1-Amil","317.3 (279.1, 355.6)","79.61 (57.6, 101.6)","49190 (48980, 49400)","0.053 (0.0055, 0.1)","0.25 (0, 0.67)","0.15 (0, 0.31)","1497 (1468, 1526)","1033 (1025, 1041)","45.95 (31.09, 60.8)","6.768 (2.748, 10.79)","21.12 (19.65, 22.58)","0.58 (0.57, 0.58)","3011 (2947, 3075)","1039 (1024, 1054)","24260 (24260, 24260)"
"group2-Amil","378.9 (334.8, 423)","118.6 (86.84, 150.4)","28970 (28890, 29050)","0.14 (0, 2.679)","0.13 (0, 2.944)","0.16 (0, 0.33)","1928 (1923, 1932)","799.8 (796.3, 803.3)","45.02 (0, 153.3)","7.651 (3.898, 11.4)","30.01 (24.41, 35.62)","0.57 (0.49, 0.66)","2418 (2404, 2432)","1400 (1256, 1544)","14560 (14560, 14560)"
"group3-Amil","396.7 (387.7, 405.7)","132.1 (0, 312.8)","26410 (26250, 26570)","0.17 (0, 2.81)","0.19 (0, 0.82)","0.24 (0.14, 0.33)","1958 (1803, 2112)","790.9 (779.3, 802.5)","24.77 (0, 113.5)","13.95 (9.673, 18.22)","61.69 (41.12, 82.26)","0.6 (0.59, 0.6)","2308 (2044, 2573)","1629 (1314, 1945)","14160 (14160, 14160)"
"group4-Amil","417.7 (242, 593.4)","122.1 (106.1, 138.2)","27290 (27140, 27450)","0.22 (0.012, 0.42)","0.26 (0.21, 0.3)","0.26 (0.14, 0.38)","2251 (2135, 2366)","743.3 (657.3, 829.4)","26.64 (15.12, 38.16)","12.68 (0, 55.9)","38.8 (27.21, 50.4)","0.58 (0.57, 0.59)","2407 (2260, 2553)","1059 (1020, 1098)","15700 (15700, 15710)"
